iso_ts,watts,device,tag
2026-08-21T22:24:00.048125+00:00,41.02,omen-system,
2026-08-21T22:24:06.370912+00:00,41.055,omen-system,
2026-08-21T22:24:11.690021+00:00,,omen-system,
2026-08-21T22:24:24.945880+00:00,40.543,omen-system,
2026-08-21T22:24:31.234981+00:00,42.224,omen-system,
2026-08-21T22:24:37.537223+00:00,41.682,omen-system,
2026-08-21T22:24:43.809343+00:00,41.61,omen-system,
2026-08-21T22:24:50.106091+00:00,42.128,omen-system,
2026-08-21T22:24:56.445565+00:00,41.054,omen-system,
2026-08-21T22:25:02.737012+00:00,40.884,omen-system,
2026-08-21T22:25:09.056051+00:00,41.533,omen-system,
2026-08-21T22:25:15.348048+00:00,42.489,omen-system,
2026-08-21T22:25:21.605571+00:00,41.399,omen-system,
2026-08-21T22:25:27.892456+00:00,40.791,omen-system,
2026-08-21T22:25:34.221253+00:00,41.866,omen-system,
2026-08-21T22:25:40.509060+00:00,40.205,omen-system,
2026-08-21T22:25:46.815271+00:00,40.352,omen-system,
2026-08-21T22:25:53.074608+00:00,41.076,omen-system,
2026-08-21T22:25:59.360957+00:00,40.343,omen-system,
2026-08-21T22:26:05.682449+00:00,41.239,omen-system,
2026-08-21T22:26:11.971421+00:00,40.475,omen-system,
2026-08-21T22:26:18.266433+00:00,40.923,omen-system,
2026-08-21T22:26:24.623744+00:00,41.092,omen-system,
2026-08-21T22:26:30.951826+00:00,40.473,omen-system,
2026-08-21T22:26:37.247886+00:00,40.813,omen-system,
2026-08-21T22:26:43.569153+00:00,41.486,omen-system,
2026-08-21T22:26:49.862882+00:00,40.784,omen-system,
2026-08-21T22:26:56.195306+00:00,48.75,omen-system,
2026-08-21T22:27:02.475200+00:00,43.128,omen-system,
2026-08-21T22:27:08.972371+00:00,49.619,omen-system,
2026-08-21T22:27:15.491933+00:00,42.379,omen-system,
2026-08-21T22:27:21.830126+00:00,41.786,omen-system,
2026-08-21T22:27:28.191582+00:00,43.85,omen-system,
2026-08-21T22:27:35.596486+00:00,48.218,omen-system,
2026-08-21T22:27:42.495715+00:00,48.511,omen-system,
2026-08-21T22:27:49.482616+00:00,47.167,omen-system,
2026-08-21T22:27:56.088095+00:00,47.259,omen-system,
2026-08-21T22:28:04.026590+00:00,46.633,omen-system,
2026-08-21T22:28:10.562051+00:00,47.838,omen-system,
2026-08-21T22:28:17.738090+00:00,47.215,omen-system,
2026-08-21T22:28:24.596126+00:00,47.728,omen-system,
2026-08-21T22:28:31.453024+00:00,46.292,omen-system,
2026-08-21T22:28:37.757749+00:00,41.522,omen-system,
2026-08-21T22:28:44.081911+00:00,42.738,omen-system,
2026-08-21T22:28:50.410961+00:00,42.449,omen-system,
2026-08-21T22:28:56.754018+00:00,41.714,omen-system,
2026-08-21T22:29:03.362097+00:00,46.508,omen-system,
2026-08-21T22:29:09.684651+00:00,42.081,omen-system,
2026-08-21T22:29:16.573640+00:00,42.067,omen-system,
2026-08-21T22:29:22.923882+00:00,42.723,omen-system,
2026-08-21T22:29:29.238065+00:00,42.228,omen-system,
2026-08-21T22:29:35.596919+00:00,42.44,omen-system,
2026-08-21T22:29:41.970765+00:00,41.792,omen-system,
2026-08-21T22:29:48.310247+00:00,41.817,omen-system,
2026-08-21T22:29:54.706546+00:00,42.514,omen-system,
2026-08-21T22:30:01.087173+00:00,42.01,omen-system,
2026-08-21T22:30:07.919936+00:00,42.398,omen-system,
2026-08-21T22:30:14.304365+00:00,43.249,omen-system,
2026-08-21T22:30:20.682492+00:00,47.733,omen-system,
2026-08-21T22:30:27.064871+00:00,42.04,omen-system,
2026-08-21T22:30:33.398917+00:00,41.731,omen-system,
2026-08-21T22:30:39.707463+00:00,41.701,omen-system,
2026-08-21T22:30:46.071220+00:00,41.986,omen-system,
2026-08-21T22:30:52.418890+00:00,41.853,omen-system,
2026-08-21T22:30:58.792923+00:00,42.237,omen-system,
2026-08-21T22:31:05.136000+00:00,42.085,omen-system,
2026-08-21T22:31:11.467014+00:00,41.656,omen-system,
2026-08-21T22:31:17.836409+00:00,42.782,omen-system,
2026-08-21T22:31:24.185042+00:00,42.686,omen-system,
2026-08-21T22:31:30.593708+00:00,41.872,omen-system,
2026-08-21T22:31:37.042485+00:00,42.263,omen-system,
2026-08-21T22:31:43.393734+00:00,46.073,omen-system,
2026-08-21T22:31:49.989808+00:00,42.408,omen-system,
2026-08-21T22:31:56.359924+00:00,41.821,omen-system,
2026-08-21T22:32:02.755413+00:00,41.896,omen-system,
2026-08-21T22:32:09.109871+00:00,41.647,omen-system,
2026-08-21T22:32:16.154695+00:00,45.369,omen-system,
2026-08-21T22:32:23.470229+00:00,45.253,omen-system,
2026-08-21T22:32:30.181609+00:00,46.354,omen-system,
2026-08-21T22:32:37.512459+00:00,46.498,omen-system,
2026-08-21T22:32:44.293329+00:00,46.495,omen-system,
2026-08-21T22:32:51.501431+00:00,46.54,omen-system,
2026-08-21T22:32:57.898253+00:00,41.307,omen-system,
2026-08-21T22:33:04.206975+00:00,41.29,omen-system,
2026-08-21T22:33:10.590328+00:00,41.642,omen-system,
2026-08-21T22:33:16.959402+00:00,41.677,omen-system,
2026-08-21T22:33:23.271159+00:00,42.384,omen-system,
2026-08-21T22:33:30.176557+00:00,41.379,omen-system,
2026-08-21T22:33:36.615101+00:00,41.47,omen-system,
2026-08-21T22:33:43.441030+00:00,43.049,omen-system,
2026-08-21T22:33:49.860102+00:00,42.371,omen-system,
2026-08-21T22:33:56.183840+00:00,41.433,omen-system,
2026-08-21T22:34:02.539110+00:00,42.569,omen-system,
2026-08-21T22:34:08.959819+00:00,42.446,omen-system,
2026-08-21T22:34:15.303572+00:00,41.968,omen-system,
2026-08-21T22:34:21.713800+00:00,41.933,omen-system,
2026-08-21T22:34:28.177325+00:00,44.443,omen-system,
2026-08-21T22:34:34.570683+00:00,43.074,omen-system,
2026-08-21T22:34:40.863530+00:00,42.266,omen-system,
2026-08-21T22:34:47.397307+00:00,44.81,omen-system,
2026-08-21T22:34:53.740467+00:00,41.955,omen-system,
2026-08-21T22:35:00.149918+00:00,41.987,omen-system,
2026-08-21T22:35:06.438758+00:00,41.781,omen-system,
2026-08-21T22:35:12.750899+00:00,41.189,omen-system,
2026-08-21T22:35:19.722053+00:00,43.619,omen-system,
2026-08-21T22:35:26.855245+00:00,46.134,omen-system,
2026-08-21T22:35:34.454725+00:00,46.42,omen-system,
2026-08-21T22:35:41.744698+00:00,45.655,omen-system,
2026-08-21T22:35:48.671899+00:00,45.641,omen-system,
2026-08-21T22:35:55.873305+00:00,46.591,omen-system,
2026-08-21T22:36:02.420430+00:00,46.309,omen-system,
